Anime,Director
dOPPO: Owakare,Onionskin
Funassyi no FunaFunaFuna Biyori, Tomio Yamauchi
Yurumates 3D, Tomohiro Tsukimisato
Hakuchuu Meikyuu,Taro Shinkai
Kumo ga Haretara,Taku Furukawa
Legend of Crystania: The Motion Picture, Ryuutarou Nakamura
Polaris: Graduation,Takaharu Shimizu
Inferious Wakusei Senshi Gaiden Condition Green, Shigeyasu Yamauchi
RG Veda, Hiroyuki Ebata
RG Veda, Takahiro Ikegami
Ambassador Magma, Hidehito Ueda
Super Short Comics, Keisuke Matsumoto
Phantom Hunter Miko, Kazuhiro Furuhashi
Fast Week,Q-Rais
Aitata Bocchi, Onohana
Magical Meow Meow Taruto, Tsukasa Sunaga
Ninja Gaiden, Mamoru Kanbe
Kotatsu Neko, Ooko Ogawa
Kotatsu Neko, Shigeyoshi Tsukahara
My Friend Bernard, Aaron Lim
Bobby's In Deep, Toshio Hirata
Saint Luminous Jogakuin, Tetsurou Amino
Seraphim Call, Tomomi Mochizuki
Senran Kagura, Takashi Watanabe
100% Pascal-sensei, You Miura
Pa's Lam System: I'm Coming,Densuke28
Pa's Lam System: I'm Coming, Kenta Suzuki
School Days, Keitarou Motonaga
Play Ball, Setsuko Shibuichi
Cyborg 009: The Reopening, Mamoru Oshii
Wild Adapter, Naoyuki Kuzuya
Elf Princess Rane, Akitarou Daichi
Sister Princess Re Pure, Nagisa Miyazaki
Sister Princess Re Pure, Tsubame Shimotaya
Fantasia Sango: Realm of Legends, Shunsuke Machitani
Super Kuma-san, Yukio Kaizawa
Mirai Koushi Harima SACLA NEX RAY, Takanobu Mizuno
Ichirin-Sha,Ushio Tazawa
Sanjougattai Transformers Go!, Toshifumi Kawase
Shinmai 'FUREAI' Net. Concept Movie,Takaharu Shimizu
Happy Bogeys,Takashi Kurihara
Kuruu Crew: Jah Jhaka,Akashic
SOS! Tokyo Metro Explorers: The Next, Shinji Takagi
Laughing Target, Motosuke Takahashi
Ketsuekigata-kun!, Yoshihisa Ooyama
Kick!,Uruma Delvi
Chase the Rice Ball,Uruma Delvi
Gesu no Kiwami Otome: Muku na Kisetsu,Yoko Yuki
Yakusoku (2009),Taku Furukawa
Nike Japan: Just Do It,Masaki Okuda
Kiseki,Yoji Kuri
Yanesenondo,Asami Ike
Blade & Soul, Hiroshi Hamasaki
Blade & Soul, Hiroshi Takeuchi
Xiao Kedou Zhao Mama,Te Wei
Yuki no Yo no Yume,Noburo Ofuji
Gigant Shooter Tsukasa,Ryouichi Mori
Itsudatte My Santa!, Noriyuki Nakamura
Kaze no Kokyuu: Animation ni Yoru Oufuku Shokan,Keiichi Tanaami
Blade, Mitsuyuki Masuhara
Monster Strike the Animation: Trouble in Monster Strike, Toshihiro Aramaki
Touyama Sakura Uchuu Chou: Yatsu no Na wa Gold,Atsutoshi Umezawa
Suzy's Zoo Daisuki! Witzy, Hidekazu Ohara
Muteking the Dancing Hero, Yuuzou Satou
Aura Battle Dunbine: The Tale of Neo Byston Well, Toshifumi Takizawa
Kemono Friends 2, Ryuichi Kimura
Divergence Eve: Misaki Chronicles, Jun Takada
Chidori RSC, Masanori Takahashi
Assemble Insert, Ayumi Chibuki
W Wish, Osamu Sekita
Aria the Scarlet Ammo AA, Takashi Kawabata
Arata-naru Sekai, Yuzuru Tachikawa
BLAME!, Shintarou Inokawa
One Million-Year Trip: Bander Book, Osamu Tezuka
Megumi, Hidetoshi Oomori
Kujibiki Unbalance OVA, Tsutomu Mizushima
Hello Kitty no Cinderella,Masami Hata
Hello Kitty no Cinderella, Tameo Kohanawa
The Baby Birds of Norman McLaren,Mirai Mizue
Phantom of Kill, Naoyoshi Shiotani
Robot Girls Z, Hiroshi Ikehata
Big Fish & Begonia (2004),Liang Xuan
People In The Box: Balloon,Ryu Kato
Thunderbirds 2086, Yasuo Hasegawa
Utsukushii Hoshi,Taku Furukawa
Sorcerer On The Rocks, Kazuhiro Ozawa
Radwimps: Jikkyou Chuukei,Daisuke Hashimoto
Vampillia: Ice Fist,Onionskin
MUSIC FROM THE MARS: Ascension from the Hell,Takashi Ohashi
Mattia Coletti & Oh Shu: 6 Songs,Ryoji Yamada
Sliding Door 2,Yoriko Mizushiri
Handsome Kenya: Tooryanse,Kousuke Sugimoto
Stand My Heroes: Piece of Truth, Hideyo Yamamoto
Wolverine, Hiroshi Aoyama
Combustible Campus Guardress, Toshihiko Nishikubo
Space Shower TV: Official Web Spot ID,Takumi Shiga
Pac-Man and the Ghostly Adventures, Motonori Sakakibara
Grey: Digital Target, Satoshi Dezaki
ICE Movie, Makoto Kobayashi
Destiny Child,Michio Fukuda
Kennosuke-sama, Minoru Okazaki
Angel Links, Yuuji Yamaguchi
Yumeria, Keitarou Motonaga
Kujibiki Unbalance, Tsutomu Mizushima
Mouse, Yorifusa Yamaguchi
Izumo: Flash of a Brave Sword, Tsuneo Tominaga
Isuca, Akira Iwanaga
Yatogame-chan Kansatsu Nikki, Hisayoshi Hirasawa
Mori no e,Kazuhiro Hocchi
Eternity: Shinya no Nurekoi Channel, Rokurou Kuramori
Arabian Nights: Sinbad no Boken, Yoshio Kuroda
Arabian Nights: Sinbad no Boken, Taiji Yabushita
Weiss Survive R, Kenji Seto
Mou Hitotsu no Mirai wo., Kenji Kamiyama
Kakko-Kawaii Sengen!, Mankyuu
Maris the Chojo, Kazuyoshi Katayama
Monster Hunter Stories: RIDE ON, Mitsuru Hongo
Usalullaby,Asami Ike
Jingai-san no Yome, Hisayoshi Hirasawa
Curly,Tetsuro Kodama
"Yasashii Fue, Tori, Ishi",Atsushi Wada
Tokyo Revelation, Osamu Yamasaki
Blue Dragon, Yukihiro Matsushita
Nura: Rise of the Youkai Clan Recaps, Junji Nishimura
Minion,Rabbit Machine
Heybot!, Shinji Ishihira
Mndsgn: Alluptoyou,Ryu Okubo
Final Fantasy: Unlimited, Mahiro Maeda
Against,Yukie Nakauchi
Zetsumetsu Kigu Shoujo: Amazing Twins, Junichi Satou
Dinozaurs: The Series, Kiyoshi Fukumoto
Binchou-tan Movie, Naoya Ishikawa
Binchou-tan Movie, Takahito Ekusa
The North Face Japan: Gore-Tex Infinium,Taro Mizutani
Photo Kano, Akitoshi Yokoyama
Space Shower TV: The Ghost of Cartoon ID,Ryu Okubo
Rebirth, Shinobu Yoshioka
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary, Shousei Jinno
Houkago no Tinker Bell, Yasushi Murayama
Sci-fi Harry, Katsuyuki Kodera
Holy Knight, Jirou Fujimoto
Holy Knight, Hiroyuki Shimazu
Geisters: Fractions of the Earth, Kouji Itou
Geisters: Fractions of the Earth, Sumio Watanabe
Miracle Train, Kenichi Kasai
DT Eightron, Masami Hata
DT Eightron, Noboru Mitsusawa
Leviathan: The Last Defense, Kenichi Yatani
Quiz Magic Academy, Keitarou Motonaga
Rio: Rainbow Gate! Special, Takao Kato
Makura Izumi: Tsuugakuro,Tomoko Oshima
Nadia: The Motion Picture, Sho Aono
"""Eiji""", Mizuho Nishikubo
Gall Force 6: New Era, Katsuhito Akiyama
Mahou Shoujo Nante Mouiidesukara. Second Season, Kazuhiro Yoneda
Shadow Star Narutaru, Toshiaki Iino
Shounen to Mahou no Robot, Tama
Yousei Ou, Katsuhisa Yamada
Beautiful Name,Tadanari Okamoto
In a pig’s eye,Atsushi Wada
Fist of the North Star: Strawberry Flavor, Mankyuu
Refrain Blue,Norio Kashima
Calimero, Yugo Serikawa
Calimero, Takeshi Tamiya
Peeping Life: The Perfect Extension,Ryouichi Mori
Samurai Girl: Real Bout High School, Shinichi Shouji
"RErideD: Derrida, who leaps through time", Takuya Satou
Moegaku 5, Yoshihiro Takamoto
Tokyo Loop,Koji Yamamura
Tokyo Loop, Yoji Kuri
Tokyo Loop, Keiichi Tanaami
Tokyo Loop, Atsushi Wada
Tokyo Loop, Kotobuki Shiriagari
Tokyo Loop, Taku Furukawa
Tokyo Loop, Nobuhiro Aihara
Tokyo Loop, Takashi Itou
Dies irae: To the Ring Reincarnation, Susumu Kudou
"On a Forest, in the Air",Masanobu Hiraoka
Bouningen Weekend,Shishi Yamazaki
Kemono Friends: Uma no Friends, Tatsuki
Scripta Volant,Ryo Orikasa
Space Shower TV: Animatope ID,Takashi Ohashi
Dousou Kai: Yesterday Once More, Kan Fukumoto
TAMAYOMI: The Baseball Girls, Toshinori Fukushima
Scan2Go, Mitsuo Hashimoto
Kaisoku Tokyo: Copy,Takahiro Yasuda
Fireball Humorous, Wataru Arakawa
Play Jazz,Taku Furukawa
KADO: The Right Answer - Ekwari, Kazuya Murata
Explorer Woman Ray, Hiroki Hayashi
Hipira: The Little Vampire, Shinji Kimura
Welcome to Pia Carrot ~Sayaka's Love Story~, Yuuji Mutou
Lime-iro Senkitan, Akira Suzuki
Q Transformers: Kaette Kita Convoy no Nazo, Kotaro Ishidate
Futon,Yoriko Mizushiri
Chocolate Underground, Takayuki Hamana
A Time Slip of 10000 Years: Prime Rose, Osamu Dezaki
School Shock, Li Haoling
Ozma, Takahiro Ikezoe
Sorcerous Stabber Orphen, Takayuki Hamana
Wild Life,Uruma Delvi
Tesagure! Bukatsumono, Kotaro Ishidate
Higenashi Gogejabaru,Tadahiko Horiguchi
Ariel, Junichi Watanabe
YANAKIKU: HACHIKO↑DANCE,Sawako Kabuki
Fushigi na Kusuri, Tadanari Okamoto
Norageki!, Hiroaki Andou
Tono to Issho, Mankyuu
Bubuki Buranki, Daizen Komatsuda
Shikizakura, Gou Kurosaki
Metal Skin Panic MADOX-01, Shinji Aramaki
Harbor Light Monogatari: Fashion Lala yori, Motosuke Takahashi
Mobile Suit Gundam-san, Mankyuu
Guitar,Ryo Hirano
Juuza Engi: Engetsu Sangokuden, Naoyuki Kuzuya
Study,Takashi Ohashi
Tori vs. Buta: Buttobi Pizza Battle,Ac-Bu
Soratobu Toshi Keikaku,Yoshiyuki Momose
Ari-chan, Mitsuyo Seo
Flint the Time Detective, Hiroshi Fukutomi
Mittsu no Hanashi, Shuichi Nakahara
Mittsu no Hanashi, Keiko Kozonoe
Mittsu no Hanashi, Makoto Wada
Bob Epic Team Collection,Ac-Bu
Wild 7, Kiyoshi Egami
Kidou Shinsengumi Moeyo Ken, Hideki Tonokatsu
Dorei-ku: The Animation, Ryouichi Kuraya
The Golden Laws, Takaaki Ishiyama
Bobobo-bo Bo-bobo, Hiroki Shibata
Legend of the Last Labyrinth, Iku Suzuki
Legend of the Last Labyrinth, Hayato Date
Bakugan Battle Brawlers, Mitsuo Hashimoto
Magical Play, Hiroki Hayashi
Antique Heart, Chuichi Watanabe
Alice in Dreamland, Kentaro Hachisuka
Banana Mura ni Ame ga Furu,Kouji Nanke
Eguchi Hisashi no Kotobuki Gorou Show, Osamu Nabeshima
Eguchi Hisashi no Kotobuki Gorou Show, Masakatsu Iijima
Warau Salesman NEW, Hirofumi Ogura
Airy Me,Yoko Kuno
Billie Eilish: you should see me in a crown,Takashi Murakami
Goichi-jiisan,Sanae Yamamoto
Love Love?, Takeo Takahashi
Jam Fish,Senri Iida
Iron Man, Yuuzou Satou
Mirai Koushi Harima SACLA, Takanobu Mizuno
Denkou Choujin Gridman: boys invent great hero,Akira Amemiya
Komori-san Can't Decline!, Kenichi Imaizumi
Labyrinth of Flames, Katsuhiko Nishijima
Frame Arms Girl, Keiichirou Kawaguchi
Quiz Magic Academy: The Original Animation 2, Keitarou Motonaga
Yui Aragaki: piece,Yoshiyuki Momose
Take the X Train, Rintarou
Kicking Rocks, Yuutarou Kubo
Shibainu: Sagashimono, Rabbit Machine
Taisei Kensetsu: Bosporus Kaikyou Tunnel,Makoto Shinkai
Monster Strike, Kazuya Ichikawa
Taisei Kensetsu: Sri Lanka Kousokudouro,Makoto Shinkai
Gunbuster: Science Lessons, Kazuya Tsurumaki
V6: Taiyou to Tsuki no Kodomo-tachi (2018),Makoto Kubota
"Yami no Kioku, Yume no Inei",Keiichi Tanaami
Parol no Miraijima, Kazuaki Imai
Red Dracul Scar Tissue x Jazztronik: Answer,Ac-Bu
Ippatsu Kikimusume, Hiroyoshi Yoshida
neco眠る: ENGAWA DE DANCEHALL,Shota Sakamoto
Hanasaka Jijii,Seitarou Kitayama
Busou Shinki: Armored War Goddess, Yasuhito Kikuchi
Dentist Baby,Soshiki Hakase
Narudoma, Takeshi Onaka
Ayumayu Theater, Satoshi Saga
Suteneko Tora-chan, Kenzo Masaoka
Kusatta Kyoushi No Houteishiki, Nanako Shimazaki
Honey x Honey Drops, Mitsuhiro Tougou
Moka: Mission School, Tomomi Mochizuki
Shin Saru Kani Gassen, Kenzo Masaoka
Sumiko: I Don't Like Your Attitude, Uruma Delvi
Tachumaru Gekijou, Okn
Samurai: Hunt for the Sword, Masahiro Sekino
Taisei Kensetsu: Shin Doha Kokusai Kuukou, Makoto Shinkai
Calpis: Hakkou Monogatari,Takaharu Shimizu
Sara Ke Puccho,Ryou Inoue
Aki Sora, Takeo Takahashi
Eternal Alice, Nagisa Miyazaki
Estima: Sense of Wonder,Kazuhiko Okushita
Estima: Sense of Wonder, Yoriko Mizushiri
Estima: Sense of Wonder, Rapparu
Estima: Sense of Wonder, Masanobu Hiraoka
Estima: Sense of Wonder, Tetsuya Tatamitani
Estima: Sense of Wonder, Takashi Ohashi
Estima: Sense of Wonder, Shishi Yamazaki
Estima: Sense of Wonder, Atsushi Makino
Million Arthur, Youhei Suzuki
Futari wa Milky Holmes, Hiroshi Nishikiori
Dallos, Mamoru Oshii
Miss Machiko!, Masami Anno
Reinbou,Yoriko Mizushiri
Hairy Tale,Kazuto Nakazawa
The Fashion Boy is Cool, Takuji Endo
"Love Position, Legend of the Halley", Shuji Iuchi
Usaband,Asami Ike
Corpse Party: Missing Footage, Akira Iwanaga
Lily C.A.T., Hisayuki Toriumi
Makura Izumi: Saishuu Densha,Tomoko Oshima
Queen's Blade: Vanquished Queens, Shin Itagaki
Present made no Michinori,Rapparu
Comet Lucifer, Yasuhito Kikuchi
Comet Lucifer, Atsushi Nakayama
Lovely Idol, Keitarou Motonaga
NETWORKS: Ake-Vono,Kouhei Yoshino
sasakure.UK: Patchwork Eden,Yuma Saito
Handsome Girl, Shunji Ooga
Vampillia: Endless Summer,Onionskin
Idol Project, Yasufumi Nagaoka
Kid Icarus, Akiyuki Simbo
MAPS, Susumu Nishizawa
The Tender March,Wataru Uekusa
Spots Spots,Yuanyuan Hu
Alice in the Country of Hearts: Wonderful Wonder World, Hideaki Ooba
D.A.N: Ghana,Ryu Okubo
Uchuu Seibutsu Jirou, Jun Aoki
Mad Bull 34, Satoshi Dezaki
Jinki:Extend - And Then..., Masahiko Murata
Natsu no Shisen,Keiichi Tanaami
Saténové ruky: DušaN,Kousuke Sugimoto
NAMUAMIDABUTSU! -UTENA-, Akira Oguro
_summer, Takahiro Okao
Red Ash -Gearworld-,Yuuta Sano
A brightening life, Aki Kono
Happy World!, Takashi Ikehata
Mitsuwano, Takashi Igari
Four Birds,Uruma Delvi
Download: Namu Amida Butsu wa Ai no Uta,Rintarou
Kappa Godaime, Hideyuki Haga
Akahori Gedou Hour Rabuge: Zettai Seigi Love Pheromone, Hitoyuki Matsui
AIKa R-16: Virgin Mission, Katsuhiko Nishijima
Peeping Life: The Perfect Emotion,Ryouichi Mori
Rage of Bahamut: Genesis - Roundup, Keiichi Satou
Bio Hunter, Yuuzou Satou
Bride of Deimos, Rintarou
Vie Durant, Hiroshi Negishi
Toukiden Kiwami, Jiro Kanai
SD Gundam Sidestory, Tetsurou Amino
The Gakuen Choujotai, Satoshi Dezaki
Kerokko Demetan, Hiroshi Sasagawa
Dai 6-kai Shin Chitose Kuukou Kokusai Animation Eigasai PR Clip,Sawako Kabuki
Weiss Survive, Iku Suzuki
Samurai,Yoji Kuri
Salmon-chan, Yumiko Toyoshima
Match Shoujo, Takayuki Kuriyama
Val x Love, Takashi Naoya
Balloon,Yuutarou Kubo
Tatamp,Mirai Mizue
Ukkarimono no Santa Claus,Uruma Delvi
18if, Eito Ifue
18if, Akira Nishimori
18if, Kouji Morimoto
18if, Kouichi Chigira
18if, Hiroko Kazui
18if, Minoru Oohara
18if, Yukio Takahashi
18if, Toshirou Fujii
Inaba no Kuni no Usagi-san,Mitsuyo Seo
Melty Lancer, Takeshi Mori
Gall Force: The Revolution, Shinya Hanai
Gall Force: The Revolution, Akihiko Nishiyama
Anisava, Benpineko
Kakari,Atsushi Wada
Super HxEros, Masato Jinbou
Straw Mania,Uruma Delvi
Sex and Violence with Mach Speed, Hiroyuki Imaishi
Exercises with TakadaBear,Takadabear
livetune: DECORATOR,Wakamurap
The Enemy's the Pirates!, Katsuhisa Yamada
Adesugata Mahou no Sannin Musume, Takashi Annou
"Korekarasaki, Nando Anata to.",Sunao Katabuchi
Stitch!: The Mischievous Alien's Great Adventure, Masami Hata
White Fantasy, Rabbit Machine
Parallel,Densuke28
Sei Michaela Gakuen Hyouryuuki, Hiroshi Fukutomi
Donyatsu, Mankyuu
Memories Off, Yukio Okazaki
Memories Off, Kazu Yokota
Gude Crest: The Emblem of Gude, Kazuhito Kikuchi
Guardian Hearts Power UP!, Yasuhiro Kuroda
Getsumen To Heiki Mina, Keiichirou Kawaguchi
Fantasista Doll, Hisashi Saitou
School Days: Valentine Days, Keitarou Motonaga
Otome Nadeshiko Koi Techou, Hijiri Sanpei
Phantom Yuusha Densetsu, Satoshi Dezaki
Wrath of the Ninja: The Yotoden Movie., Osamu Yamasaki
Usawaltz,Asami Ike
Doomed Megalopolis, Kazuyoshi Katayama
Doomed Megalopolis, Masashi Ikeda
Doomed Megalopolis, Rintarou
Doomed Megalopolis, Kazunari Kume
People In The Box: Nimrod,Ryu Kato
Yoiko, Takahiro Oomori
Akazukin to Kenkou,Ryou Inoue
Crazy For It,Yuutarou Kubo
Youshi Kei: Mou Hitotsu no Nijiiro Toshi,Keiichi Tanaami
Gokujo. Gokurakuin Joshikou Ryou Monogatari, Futoshi Higashide
Nouryou Anime: Denkyuu Ika Matsuri,Koji Yamamura
Strawberry,Siqi Song
Hakodate Musical,Ryou Inoue
Legend of the Mystical Ninja, Masayoshi Yatabe
Moldiver, Hirohide Fujiwara
Piano: The Melody of a Young Girl's Heart, Norihiko Sutou
Kipling Jr.,Koji Yamamura
Byoudoku no Denpa,Sanae Yamamoto
Matsuda-ke Curry Battle,Ryou Inoue
The Hotpantz: Nowhereland,Sawako Kabuki
Bucket no Ana,Makoto Wada
Ane Log, Tetsuo Ichimura
Asunal Kanayama,Rabbit Machine
Last Period: the journey to the end of the despair, Yoshiaki Iwasaki
Haiyoru! Nyaru-Ani, Azuma Tani
ēlDLIVE, Jouji Furuta
Ebiten: Ebisugawa Public High School's Tenmonbu, Hideki Okamoto
Parappa the Rapper, Hiroaki Sakurai
Saint Seiya: Saintia Shou, Masato Tamagawa
Mao-chan, Yoshiaki Iwasaki
Kappo,Yoriko Mizushiri
The Lost Village, Tsutomu Mizushima
RoughSketch: Alice in Voodooland,Kousuke Sugimoto
Fantasy,Tomomi Komazaki
Ahiru Rikusentai,Mitsuyo Seo
Touka Gettan, Yuuji Yamaguchi
Najica Blitz Tactics, Katsuhiko Nishijima
Tadaima! Chibi Godzilla, Tommy Hino
Powerpuff Girls Z, Megumu Ishiguro
Iya na Kao Sarenagara Opantsu Misete Moraitai 2nd Season, Saya Fukase
Yamishibai: Japanese Ghost Stories 4th Season, Masaya Kaneko
"Shuudengo, Capsule Hotel de, Joushi ni Binetsu Tsutawaru Yoru", Hideki Araki
25-sai no Joshikousei, Hideta Oota
Guardian of Darkness, Osamu Yamasaki
AFRA & INCREDIBLE BEATBOX BAND: Seven Nation Army, Rimo
The Adventures of Peter Pan, Yoshio Kuroda
Level-C, Yorifusa Yamaguchi
Cinderella Boy, Tsuneo Tominaga
Canvas ~Motif of Sepia~, Tsuneo Tominaga
Music Girls, Yukio Nishimoto
Techno Police 21C, Masashi Matsumoto
Sengoku Collection, Keiji Gotou
Kiss Kiss Kiss,Tadanori Yokoo
Dragon Century, Kiyoshi Fukumoto
Early Reins, Yuuji Asada
Ayumi Hamasaki: Connected,Kouji Morimoto
Saint Beast, Harume Kosaka
Haiyoru! Nyaru-ani: Remember My Love(craft-sensei), Azuma Tani
TETE x METE,Uruma Delvi
Fire Emblem, Shin Misawa
Element Hunters, Yoshiaki Okumura
TOKYO HEALTH CLUB: Sunny, Densuke28
Chu-Bra!!, Yukina Hiiro
Ninku: The Movie, Noriyuki Abe
Caligula, Junichi Wada
Kuricorder Quartet: Southpaw,Sawako Kabuki
A crow is white: Hizumu Realism,Fantasista Utamaro
Akahori Gedou Hour Rabuge: Sore Yuke! Gedou Otometai, Hitoyuki Matsui
SoniAni: Super Sonico The Animation, Kenichi Kawamura
Kenmochi Hidefumi: RoboCop,Takaharu Shimizu
Step Up Love Story (2014), Tetsurou Amino
Gakuen Basara: Samurai High School, Minoru Oohara
Asobuild Teaser Movie,Densuke28
Kagewani, Tomoya Takashima
1001 Nights, Mike Smith
Felix no Mei Tantei, Shigeji Ogino
Glass Maiden, Mitsuko Kase
Modern No.2,Mirai Mizue
HATSUNE MIKU x TETSUYA NOMURA, Tetsuya Nomura
Suikoden: Demon Century, Hiroshi Negishi
Grandeek, Sou Toyama
Baku Tech! Bakugan, Takao Kato
Kodomo no Kaitei no Koto,Atsushi Wada
Avenger, Kouichi Mashimo
Princess Army: Wedding Combat, Osamu Sekita
Tora-chan to Hanayome, Kenzo Masaoka
Darkside Blues, Yoriyasu Kogawa
Space Shower TV: Anison Nippon ID,Rapparu
Mama Guitar: Eat You Up/Bunny,Shintaro Sakamoto
Master of Epic: The Animation Age, Tetsuya Endou
Battery, Tomomi Mochizuki
NEONS: Onami,Sawako Kabuki
Adachin's Theme, Jun Aoki
Time on the Planet,Masaki Okuda
AFRO,Tomoyoshi Joko
Popee the Performer: Countdown Special, Ryuji Masuda
Baoh, Hiroyuki Yokoyama
A crow is white: Himitsu Spark, Wataru Uekusa
"Don't Lose, Makendo!", Kazuya Murata
The Laws of the Sun, Takaaki Ishiyama
All That Gundam, Shigeru Morikawa
Why Re-Mix 2002,Keiichi Tanaami
Shizuku, Osamu Tezuka
Red Dracul Scar Tissue: Urmă (Zanzou),Ac-Bu
Gingirl, Rabbit Machine
A Sea Doesn't Tell Much,Yoriko Mizushiri
Colorful, Ryuutarou Nakamura
Homeroom Affairs, Osamu Sekita
Independent Animation Festival the 13th Opening Animation,Takashi Taniguchi
Akane Maniax, Tetsuya Watanabe
Hortensia Saga, Yasuto Nishikata
Sekkou Boys, Seiki Takuno
Devour Dinner,Mirai Mizue
Zenonzard The Animation, Kei Oikawa
Taneyamagahara no Yoru, Kazuo Oga
Senya Ichiya Monogatari,Eiichi Yamamoto
Through the Windows,Miyo Sato
Ichi the Killer: Episode 0, Shinji Ishihira
Bakumatsu Gijinden Roman, Hirofumi Ogura
Majo Demo Steady, Osamu Kobayashi
Youkoso Uchuujin, Tadanari Okamoto
World Fool News (2013), Yu Mashimo
Sakura: Haru no Gensou,Kenzo Masaoka
Manga Kamishibai Kintarou no Maki,Yasuji Murata
Chainsaw Bunny, Takena Nagao
Z/X: Code Reunion, Yoshifumi Sueda
Calimero (1992), Shigeru Ueda
Your Choice!, Koji Yamamura
Kindan no Tasuketsu: Nosferatu,Tomoko Oshima
Cosplay Complex, Shinichirou Kimura
Tanken Driland: 1000-nen no Mahou, Toshinori Fukuzawa
Carol, Tsuneo Tominaga
Carol, Satoshi Dezaki
Power Dolls, Masayuki Hidaka
"People In The Box: Dance, Dance, Dance", Ryu Kato
Don Dracula, Masamune Ochiai
OBSOLETE, Hiroki Yamada
OBSOLETE, Seiichi Shirato
Love Love? Specials, Takeo Takahashi
G-9, Keita Amemiya
Shoka, Makoto Yamada
Brain Powerd, Yoshiyuki Tomino
Rainbow Mountain, Yoshihiro Ueda
The Adventures of Kotetsu, Yuuji Moriyama
Future Folktales, Masami Shimoda
Tristia of the Deep Blue Sea, Hitoyuki Matsui
Koryu no Mimi, Kunihiko Yuyama
Gal & Dino, Jun Aoki
Ryo, Kouichi Chigira
Circlet Princess, Hideki Tachibana
Joubuna Tire!,Hideaki Anno
Ai Mai Mii: Surgical Friends, Itsuki Imazaki
Tamaki Roy: Koto no Shidai,Ryo Orikasa
Ponsuke no Haru,Ikuo Oishi
Tako no Hone,Yasuji Murata
MAG.NET: Jingle ID,Rapparu
Aoi Sekai no Chuushin de, Tetsuya Yanagisawa
It's My Life, Hisayoshi Hirasawa
Anime-gatari x Attack on Titan, Kenshirou Morii
PIMO: Wanna Be a Tuna,Ryou Inoue
ABCiee Working Diary, Ryousuke Aoike
Genroku Koi Moyou: Sankichi to Osayo,Mitsuyo Seo
Big Order, Nobuharu Kamanaka
Kitsutsuki Keikaku, Tadanari Okamoto
Denki Groove: UFOholic,Cyriak
Meisou! Underworld, Shin Matsuo
G-On Riders Special,Shinichirou Kimura
Dragon Collection, Keiichirou Kawaguchi
Deva Zan, Yoshitaka Amano
Deva Zan, Shinmei Kawahara
Wings of Rean, Yoshiyuki Tomino
40meterP: Rakugaki Picasso, Kenshiro Morii
Taku Boda,Taku Furukawa
"Watashitachi, Luck Logic Bu!", Takashi Naoya
Cleopatra D.C., Naoyuki Yoshinaga
Cleopatra D.C., Hiroyuki Ebata
phatmans after school: Fr/day Night,Sou Ootsuki
Diabolik Lovers, Shinobu Tagashira
Kitte no Nai Okurimono,Taku Furukawa
Arei no Kagami: Way to the Virgin Space, Kouzou Morishita
Samurai Gun, Hideki Sonoda
Akai Koudan Zillion Utahime Yakyoku, Mizuho Nishikubo
Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!, Keiichirou Kawaguchi
Chie-P: Cleaning Switch, Tripshots
Ayane's High Kick, Takahiro Okao
LBX Girls, Keitarou Motonaga
Space Shower TV: Factory ID,Mirai Mizue
Garaga, Hidemi Kubo
MTV ID (Shunsuke Saito),Shunsuke Saito
Ga no Iru Tokoro,Mika Seike
Manyuu Hiken-chou, Hiraku Kaneko
Maesetsu! Opening Act, Yuu Nobuta
Timbre A to Z,Mirai Mizue
A.LI.CE, Kenichi Maejima
Kumo to Tulip, Kenzo Masaoka
Joker: Marginal City, Osamu Yamasaki
Sora Iro no Tane,Hayao Miyazaki
Lilt,Asami Ike
Modern,Mirai Mizue
Buddha Saitan, Takaaki Ishiyama
Kaitou Tenshi Twin Angel, Tatsuyuki Nagai
Wandaba Style, Yoshihiro Takamoto
Akai Hayate, Osamu Tsuruyama
Ubasuteyama,Sanae Yamamoto
Wooser no Sono Higurashi, Toyonori Yamada
The Epic of Zektbach, Mizuho Nishikubo
Pinocchio-P: E no Umakatta Tomodachi, Kenshiro Morii
Bakumatsu, Masaki Watanabe
Marginal Prince, Takayuki Inagaki
Piace: Watashi no Italian, Hiroaki Sakurai
Lime-iro Ryuukitan X, Tsuneo Tominaga
Divine Gate, Noriyuki Abe
Super Mobile Legend Dinagiga, Naoyuki Yoshinaga
Mac the Movie,Taku Furukawa
PigMovie Butaodoru, Kazuhiro Hocchi
Irodorimidori: Change Our Mirai!, Ikuo Geso
Yuukai Anna,Kaichi Satou
Agent AiKa, Katsuhiko Nishijima
OOIOO: UMO,Shoji Goto
Popee the Performer, Ryuji Masuda
Koneko no Rakugaki, Taiji Yabushita
Koneko no Rakugaki, Yasuji Mori
Wienners: Shangri-La,Shota Sakamoto
Asa Made Jugyou Chu!, Hiromitsu Kanazawa
Independent Animation Festival the 08th Opening Animation,Jun Aoki
Twilight of the Dark Master, Akiyuki Simbo
Nineteen 19, Kouichi Chigira
Natsunagu!, Yasuyuki Honda
Okitegami Kyouko no Bibouroku x Monogatari, Yukihiro Miyamoto
ARP Backstage Pass, Tetsuya Endou
T.P. Sakura: Time Paladin Sakura, Takehiro Nakayama
