Anime,Director
Fate/stay night: Unlimited Blade Works, Takahiro Miura
The Ancient Magus' Bride: Those Awaiting a Star, Norihiro Naganuma
Sword of the Stranger, Masahiro Andou
KonoSuba – God's blessing on this wonderful world! 2, Takaomi Kanasaki
Cowboy Bebop: The Movie, Shinichirou Watanabe
Rainbow: Nisha Rokubou no Shichinin, Hiroshi Koujina
Wotakoi: Love is Hard for Otaku OVA, Yayoi Takano
Major Season 1, Kenichi Kasai
Mobile Suit Gundam: Iron-Blooded Orphans 2, Tatsuyuki Nagai
Major Season 4, Riku Fukushima
The Disastrous Life of Saiki K. - Reawakened, Hiroaki Sakurai
Hunter x Hunter OVA, Satoshi Saga
Saekano: How to Raise a Boring Girlfriend Fine, Akihisa Shibata
ReLIFE: Kanketsu-hen, Satoru Kosaka
Legend of the Galactic Heroes: Die Neue These Second 3, Shunsuke Tada
Kamisama Kiss OVA, Akitarou Daichi
History's Strongest Disciple Kenichi, Hajime Kamegaki
Baccano!, Takahiro Oomori
One Outs, Yuuzou Satou
Re:ZERO -Starting Life in Another World-, Masaharu Watanabe
Skip Beat!, Kiyoko Sayama
Golden Kamuy Season 2, Hitoshi Nanba
Eve: Kaikai Kitan, Yuuichirou Saeki
Silver Spoon 2nd Season, Kotomi Deai
Mobile Suit Gundam 00 Second Season, Seiji Mizushima
When They Cry: Kai, Chiaki Kon
Natsume's Book of Friends, Takahiro Oomori
Detective Conan Movie 14: The Lost Ship in the Sky, Yasuichiro Yamamoto
The Seven Deadly Sins: Revival of the Commandments, Jouji Furuta
Toradora!, Tatsuyuki Nagai
Grand Blue, Shinji Takamatsu
Nodame Cantabile: Finale, Chiaki Kon
xxxHOLiC Kei, Tsutomu Mizushima
Gintama, Shinji Takamatsu
Gintama, Youichi Fujita
Vivy: Fluorite Eye's Song, Shinpei Ezaki
Psycho-Pass, Naoyoshi Shiotani
xxxHOLiC Rou, Tsutomu Mizushima
Initial D Fourth Stage, Tsuneo Tominaga
Overlord II, Naoyuki Itou
Sekai-ichi Hatsukoi: World's Greatest First Love 2, Chiaki Kon
Ascendance of a Bookworm, Mitsuru Hongo
Tsubasa Reservoir Chronicle: Tokyo Revelations, Shunsuke Tada
Junjou Romantica 2, Chiaki Kon
The Girl Who Leapt Through Time, Mamoru Hosoda
Wotakoi: Love is Hard for Otaku, Yoshimasa Hiraike
Berserk: Golden Age Arc III - The Advent, Toshiyuki Kubooka
Jujutsu Kaisen 0, Seong-Hu Park
Nichijou: My Ordinary Life, Tatsuya Ishihara
Trigun, Satoshi Nishimura
Saga of Tanya the Evil, Yutaka Uemura
Junjou Romantica 3, Chiaki Kon
Nodame Cantabile, Kenichi Kasai
Space Brothers, Ayumu Watanabe
The Seven Deadly Sins, Tensai Okamura
Detective Conan Movie 15: Quarter of Silence, Yasuichiro Yamamoto
Detective Conan Movie 15: Quarter of Silence, Koubun Shizuno
Death Parade, Yuzuru Tachikawa
Ghost in the Shell: Stand Alone Complex, Kenji Kamiyama
Fire Force 2nd Season, Tatsuma Minamikawa
Detective Conan Movie 13: The Raven Chaser, Yasuichiro Yamamoto
Food Wars! The Fourth Plate, Yoshitomo Yonetani
Tokyo Ghoul, Shuuhei Morita
Swallowed Star, Shen Leping
Angel Beats!, Seiji Kishi
Whisper of the Heart, Yoshifumi Kondou
My Hero Academia 5, Masahiro Mukai
Legend of the Galactic Heroes: Die Neue These Second 2, Shunsuke Tada
My Hero Academia Movie 3: World Heroes' Mission, Kenji Nagasaki
Puella Magi Madoka Magica, Akiyuki Simbo
Ping Pong The Animation, Masaaki Yuasa
Rurouni Kenshin, Kazuhiro Furuhashi
World Trigger 2nd Season, Morio Hatano
One Piece Film: Gold, Hiroaki Miyamoto
Land of the Lustrous, Takahiko Kyougoku
BECK: Mongolian Chop Squad, Osamu Kobayashi
Cross Game, Osamu Sekita
Sleepy Princess in the Demon Castle, Mitsue Yamazaki
Gintama: Jump Festa 2014, Chizuru Miyawaki
Beyond the Boundary Movie: I'll Be Here - Future, Taichi Ishidate
Ghost in the Shell: Stand Alone Complex - The Laughing Man, Kenji Kamiyama
Nodame Cantabile: Paris, Chiaki Kon
Nana, Morio Asaka
Girls und Panzer der Film, Tsutomu Mizushima
Kimi ni Todoke - From Me To You 2nd Season, Hiro Kaburagi
Quanzhi Gaoshou, Xiong Ke
Detective Conan Movie 23: The Fist of Blue Sapphire, Chika Nagaoka
My Hero Academia Movie: Two Heroes, Kenji Nagasaki
Trigun: Badlands Rumble, Satoshi Nishimura
Princess Jellyfish, Takahiro Oomori
Hozuki's Coolheadedness 2nd Season: Part II, Kazuhiro Yoneda
Astra Lost in Space, Masaomi Andou
Snow White with the Red Hair, Masahiro Andou
Detective Conan Movie 18: The Sniper From Another Dimension, Koubun Shizuno
Attack on Titan Movie 3: The Roar of Awakening, Masashi Koizuka
"Love, Chunibyo & Other Delusions! Movie: Take On Me", Tatsuya Ishihara
One-Punch Man: Road to Hero, Shingo Natsume
Mobile Suit Gundam: The Origin, Takashi Imanishi
Non Non Biyori Movie: Vacation, Shinya Kawatsura
Made in Abyss: Tabidachi no Yoake, Masayuki Kojima
Ghost in the Shell: Stand Alone Complex - Solid State Society, Kenji Kamiyama
Yowamushi Pedal: Grande Road, Osamu Nabeshima
Hozuki's Coolheadedness OVA 3, Kazuhiro Yoneda
Welcome to the Ballroom, Yoshimi Itazu
Yu Yu Hakusho, Noriyuki Abe
Katanagatari, Keitarou Motonaga
Log Horizon, Shinji Ishihira
Log Horizon, Junichi Wada
Major: Message, Toshinori Fukushima
Keep Your Hands Off Eizouken!, Masaaki Yuasa
Yoh Kamiyama: YELLOW,Touyouigaku
My Teen Romantic Comedy SNAFU TOO!, Kei Oikawa
Magi: Adventure of Sinbad, Yoshikazu Miyao
Clannad, Tatsuya Ishihara
TONIKAWA: Over the Moon for You, Hiroshi Ikehata
The Last: Naruto the Movie, Tsuneo Kobayashi
One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!, Naoyuki Itou
Teasing Master Takagi-san 2, Hiroaki Akagi
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna, Katsumi Tokoro
Initial D Second Stage, Shin Misawa
Omae Umasou da na Movie, Masaya Fujimori
Black Lagoon, Sunao Katabuchi
One Piece: Episode of East Blue, Takashi Ootsuka
Baccano! Specials, Takahiro Oomori
Durarara!!, Takahiro Oomori
Detective Conan Movie 8: Magician of the Silver Sky, Yasuichiro Yamamoto
Kimi ni Todoke - From Me To You, Hiro Kaburagi
Spice and Wolf, Takeo Takahashi
One Piece: Episode of Sabo, Gou Koga
Time of Eve, Yasuhiro Yoshiura
The Prince of Tennis: The National Tournament - Final, Shunsuke Tada
Time of Eve Movie, Yasuhiro Yoshiura
Megalo Box 2: Nomad, You Moriyama
Baby Steps 2, Masahiko Murata
Fate/stay night: Unlimited Blade Works Prologue, Takahiro Miura
GATE (2016), Takahiko Kyougoku
The Pet Girl of Sakurasou, Atsuko Ishizuka
Tenchi Muyo! War on Geminar, Koji Yoshikawa
Terror in Resonance, Shinichirou Watanabe
Durarara!! X2 The Third Arc, Takahiro Oomori
Berserk, Naohito Takahashi
Durarara!! X2, Takahiro Oomori
Noragami Aragoto OVA, Koutarou Tamura
Stars Align, Kazuki Akane
Mobile Suit Gundam 00, Seiji Mizushima
Link Click: Marrying by Contesting, Li Haoling
Lupin III: Part V, Yuuichirou Yano
Detective Conan Movie 22: Zero The Enforcer, Yuzuru Tachikawa
Free! -Take Your Marks-, Eisaku Kawanami
Magi: The Labyrinth of Magic, Kouji Masunari
Magi: The Labyrinth of Magic, Naotaka Hayashi
ReLIFE, Satoru Kosaka
A Certain Scientific Railgun S, Tatsuyuki Nagai
Ghost in the Shell: Stand Alone Complex - Individual Eleven, Kenji Kamiyama
Daily Lives of High School Boys, Shinji Takamatsu
Asobi Asobase, Seiji Kishi
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero, Hiroshi Hamasaki
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero, Takuya Satou
Patema Inverted, Yasuhiro Yoshiura
Stand by Me Doraemon, Takashi Yamazaki
Sekai-ichi Hatsukoi: World's Greatest First Love OVA, Chiaki Kon
Magical Girl Lyrical Nanoha: The Movie 2nd A's, Keizou Kusakawa
Black Lagoon: Roberta's Blood Trail, Sunao Katabuchi
Bungo Stray Dogs, Takuya Igarashi
The World God Only Knows: Goddesses Arc, Satoshi Osedo
Legend of the Galactic Heroes: Die Neue These Second 1, Shunsuke Tada
Bakuman., Kenichi Kasai
Bakuman., Noriaki Akitaya
Hozuki's Coolheadedness 2nd Season, Kazuhiro Yoneda
xxxHOLiC Shunmuki, Tsutomu Mizushima
Berserk: Golden Age Arc II - The Battle for Doldrey, Toshiyuki Kubooka
Yona of the Dawn OVA, Kazuhiro Yoneda
Darker than Black, Tensai Okamura
Initial D, Shin Misawa
Welcome to the NHK!, Yuusuke Yamamoto
One-Punch Man 2, Chikara Sakurai
JoJo's Bizarre Adventure (2012), Kenichi Suzuki
JoJo's Bizarre Adventure (2012), Naokatsu Tsuda
Non Non Biyori Repeat, Shinya Kawatsura
Jormungand: Perfect Order, Keitarou Motonaga
Durarara!! X2 The Second Arc, Takahiro Oomori
Slam Dunk, Nobutaka Nishizawa
Aria the Origination, Junichi Satou
Chihayafuru, Morio Asaka
Sound! Euphonium 2, Tatsuya Ishihara
Sound! Euphonium 2, Naoko Yamada
Drifters, Kenichi Suzuki
Magi: Adventure of Sinbad OVA, Yoshikazu Miyao
Promare, Hiroyuki Imaishi
Rurouni Kenshin: Seisouhen, Kazuhiro Furuhashi
Sekai-ichi Hatsukoi: World's Greatest First Love, Chiaki Kon
Food Wars! Toutsuki Juukketsu, Yoshitomo Yonetani
The Tale of the Princess Kaguya, Isao Takahata
GATE, Takahiko Kyougoku
KonoSuba – God's blessing on this wonderful world!, Takaomi Kanasaki
Snow White with the Red Hair OVA, Masahiro Andou
Carole & Tuesday, Motonobu Hori
One Piece: Strong World - Episode 0, Naoyuki Itou
Yi Nian Yongheng, Su Xiao Guang
Hinamatsuri, Kei Oikawa
School Rumble: 2nd Semester, Takaomi Kanasaki
Sword Art Online: Progressive Movie 1 - Aria of a Starless Night, Ayako Kouno
Sword Art Online: Progressive Movie 1 - Aria of a Starless Night, Ayako Kawano
A Certain Scientific Railgun T, Tatsuyuki Nagai
Evangelion: 1.0 You Are (Not) Alone, Kazuya Tsurumaki
Evangelion: 1.0 You Are (Not) Alone, Masayuki
Detective Conan Movie 19: The Hellfire Sunflowers, Koubun Shizuno
My Love Story!!, Morio Asaka
Is It Wrong to Try to Pick Up Girls in a Dungeon?, Yoshiki Yamakawa
Classroom of the Elite, Hiroyuki Hashimoto
IDOLiSH7: Second BEAT!, Makoto Bessho
Ghost in the Shell, Mamoru Oshii
Ace of the Diamond, Mitsuyuki Masuhara
Kino's Journey, Ryuutarou Nakamura
Mobile Suit Gundam: Iron-Blooded Orphans, Tatsuyuki Nagai
"Welcome to Demon School, Iruma-kun", Makoto Moriwaki
Little Busters! Refrain, Yoshiki Yamakawa
Bungo Stray Dogs: Walking Alone, Takuya Igarashi
History's Strongest Disciple Kenichi OVA, Hiroshi Ishiodori
Osomatsu-san The Movie, Youichi Fujita
Moribito: Guardian of the Spirit, Kenji Kamiyama
Kaiji - Against All Rules, Yuuzou Satou
Space Dandy 2, Shingo Natsume
The House of Small Cubes, Kunio Kato
Tsukimichi: Moonlit Fantasy, Shinji Ishihira
Tokyo Magnitude 8.0, Masaki Tachibana
Detective Conan Movie 10: The Private Eyes' Requiem, Yasuichiro Yamamoto
Gintama: Jump Festa 2005, Shinji Takamatsu
Overlord: The Undead King, Naoyuki Itou
Fairy Tail Movie 2: Dragon Cry, Tatsuma Minamikawa
"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.", Mirai Minato
Haikyuu!! Lev Kenzan!, Susumu Mitsunaka
Broken Blade Movie 4: The Land of Calamity, Tetsurou Amino
Broken Blade Movie 4: The Land of Calamity, Nobuyoshi Habara
Yowamushi Pedal, Osamu Nabeshima
Gurren Lagann Movie 1: Childhood's End, Hiroyuki Imaishi
The Secret World of Arrietty, Hiromasa Yonebayashi
Working!!!, Yumi Kamakura
Slayers Next, Takashi Watanabe
Detroit Metal City, Hiroshi Nagahama
Liang Bu Yi, Wang Fengbin
Soul Eater, Takuya Igarashi
Aggretsuko 3, Rareko
Attack on Titan Movie 4: Chronicle, Masashi Koizuka
Aggretsuko 2, Rareko
Mobile Suit Gundam Unicorn, Kazuhiro Furuhashi
The Disappearance of Conan Edogawa: The Worst Two Days in History, Yasuichiro Yamamoto
Dragon Ball Z, Daisuke Nishio
The Prince of Tennis II OVA vs. Genius 10, Hideyo Yamamoto
Tsubasa: Spring Thunder Chronicle, Shunsuke Tada
From Up on Poppy Hill, Goro Miyazaki
One-Punch Man Specials, Shingo Natsume
Initial D Legend 3: Dream, Tomohito Naka
Initial D Legend 3: Dream, Masamitsu Hidaka
Honey and Clover II, Tatsuyuki Nagai
That Time I Got Reincarnated as a Slime OVA, Yasuhito Kikuchi
Overlord: The Dark Hero, Naoyuki Itou
Lovely Complex, Konousuke Uda
The Prince of Tennis: The National Tournament, Shunsuke Tada
Romeo no Aoi Sora, Kozo Kuzuha
Sekai-ichi Hatsukoi: World's Greatest First Love - Proposal-hen, Tomoya Takahashi
Assassination Classroom: Jump Festa 2013 Special, Keiji Gotou
Broken Blade Movie 5: The Gap Between Life & Death, Tetsurou Amino
Broken Blade Movie 5: The Gap Between Life & Death, Nobuyoshi Habara
The Story of Saiunkoku 2nd Series, Jun Shishido
The Millionaire Detective - Balance:Unlimited, Tomohiko Itou
REBORN!, Kenichi Imaizumi
DAKAICHI: I'm being harassed by the sexiest man of the year, Naoyuki Tatsuwa
Megalo Box, You Moriyama
Saint Seiya: The Lost Canvas - Meiou Shinwa 2nd Chapter, Osamu Nabeshima
Digimon Adventure Movie: Last Evolution Kizuna, Tomohisa Taguchi
Junjou Romantica, Chiaki Kon
Arifureta: From Commonplace to World's Strongest 2nd Season, Akira Iwanaga
Darker than Black: Kuro no Keiyakusha Gaiden, Tensai Okamura
Tower of God, Takashi Sano
Major Movie: Yuujou no Winning Shot, Takao Kato
Sword Art Online: Alicization - War of Underworld, Manabu Ono
Charlotte, Yoshiyuki Asai
Gosick, Hitoshi Nanba
Legend of the Galactic Heroes: Overture to a New War, Keizou Shimizu
Hakuouki Movie 2: Warrior Spirit of the Blue Sky, Osamu Yamasaki
Hozuki's Coolheadedness OVA, Hiro Kaburagi
Psycho-Pass 3: First Inspector, Naoyoshi Shiotani
Ghost in the Shell 2.0, Mamoru Oshii
Scissor Seven, He Xiaofen
Saint Seiya: The Hades Chapter - Sanctuary, Shigeyasu Yamauchi
Log Horizon 2, Shinji Ishihira
Log Horizon 2, Toshinori Watanabe
Minami: Kawaki wo Ameku,Jun Matsuda
Blue Exorcist, Tensai Okamura
Broken Blade Movie 3: Scars from an Assassin's Blade, Tetsurou Amino
Broken Blade Movie 3: Scars from an Assassin's Blade, Nobuyoshi Habara
Seraph of the End: Battle in Nagoya, Daisuke Tokudo
Monthly Girls' Nozaki-kun, Mitsue Yamazaki
Natsume's Book of Friends: Nyanko-sensei & The First Errand, Kotomi Deai
"Legend of the Galactic Heroes: A Hundred Billion Stars, A Hundred Billion Lights", Asami Ryuu
From the New World, Masashi Ishihama
Cardcaptor Sakura: The Movie 2: The Sealed Card, Morio Asaka
The Devil is a Part-Timer!, Naoto Hosoda
Initial D Legend 2: Racer, Tomohito Naka
Initial D Legend 2: Racer, Masamitsu Hidaka
Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem, Kazuhisa Takenouchi
Interstella 5555 - The 5tory of the 5ecret 5tar 5ystem, Leiji Matsumoto
Wan Jie Xian Zong 3rd Season,Jiang Zi
Wan Jie Xian Zong 3rd Season, Xuan Qing
Junjou Romantica OVA, Chiaki Kon
Tanaka-kun is Always Listless, Shinya Kawatsura
Naruto, Hayato Date
Kono Oto Tomare!, Ryouma Mizuno
Mobile Suit Gundam: The Origin - Advent of the Red Comet, Takashi Imanishi
Blue Spring Ride, Ai Yoshimura
DAKAICHI: I'm being harassed by the sexiest man of the year- Spain Arc, Naoyuki Tatsuwa
Kokoro Connect: Michi Random, Shinya Kawatsura
Free! -Timeless Medley- The Promise, Eisaku Kawanami
Black Butler, Toshiya Shinohara
The Labyrinth of Grisaia, Motoki Tanaka
Ushio and Tora TV (2016), Satoshi Nishimura
My Teen Romantic Comedy SNAFU TOO! OVA, Kei Oikawa
Dragon Ball Super, Kimitoshi Chioka
Dragon Ball Super, Morio Hatano
Nanbaka 2nd Season, Shinji Takamatsu
Big Windup! 2, Tsutomu Mizushima
Psycho-Pass: The Movie, Naoyoshi Shiotani
Shirobako, Tsutomu Mizushima
How to Keep a Mummy, Kaori
Kakuriyo: Bed & Breakfast for Spirits, Yoshiko Okuda
Sword Art Online: Alicization - War of Underworld: Part II, Manabu Ono
Stand By Me Doraemon 2, Takashi Yamazaki
Stand By Me Doraemon 2, Ryuuichi Yagi
Poco's Udon World, Yoshihide Ibata
Poco's Udon World, Seiki Takuno
